Simulation
,SimulationName,default_unoptimized,
,NumAgents,100,
,NumArmories,2,
,NumLumberyards,2,
,NumMedStations,0,
,BombardmentRate,5.000000,
,ThreatRate,30.000000,
,StartingThreat,100,
,MapDimensions,"0.000000,0.000000",
,MapName,30x30,
,
,StartingTime,10-16-118_14.5.32,
,IsOptimized,No,
,Average Time After 10000 iterations (Process Action Stack) 0.000821,10-16-118_14.5.34,
,Iterations per second 0.162233 (Process Action Stack) (total time between: 16.223289),10-16-118_14.5.34,
,Average Time After 10000 iterations (Process Action Stack) 0.000832,10-16-118_14.5.45,
,Iterations per second 0.110165 (Process Action Stack) (total time between: 11.016478),10-16-118_14.5.45,
,Average Time After 10000 iterations (Process Action Stack) 0.000824,10-16-118_14.5.56,
,Iterations per second 0.113957 (Process Action Stack) (total time between: 11.395700),10-16-118_14.5.56,
,Average Time After 10000 iterations (Process Action Stack) 0.000823,10-16-118_14.6.7,
,Iterations per second 0.112188 (Process Action Stack) (total time between: 11.218836),10-16-118_14.6.7,
,Average Time After 10000 iterations (Process Action Stack) 0.000819,10-16-118_14.6.19,
,Iterations per second 0.111842 (Process Action Stack) (total time between: 11.184153),10-16-118_14.6.19,
,Average Time After 100 iterations (Pathing) 0.000210,10-16-118_14.6.29,
,Iterations per second 0.855294 (Pathing) (total time between: 85.529381),10-16-118_14.6.29,
,Average Time After 10000 iterations (Process Action Stack) 0.000832,10-16-118_14.6.30,
,Iterations per second 0.114478 (Process Action Stack) (total time between: 11.447810),10-16-118_14.6.30,
,Average Time After 10000 iterations (Process Action Stack) 0.000832,10-16-118_14.6.41,
,Iterations per second 0.112277 (Process Action Stack) (total time between: 11.227720),10-16-118_14.6.41,
,Average Time After 100 iterations (UpdatePlan) 0.002247,10-16-118_14.6.44,
,Iterations per second 1.189142 (UpdatePlan) (total time between: 118.914177),10-16-118_14.6.44,
,Average Time After 10000 iterations (Process Action Stack) 0.000831,10-16-118_14.6.53,
,Iterations per second 0.112644 (Process Action Stack) (total time between: 11.264435),10-16-118_14.6.53,
,Average Time After 10000 iterations (Process Action Stack) 0.000833,10-16-118_14.7.4,
,Iterations per second 0.117001 (Process Action Stack) (total time between: 11.700134),10-16-118_14.7.4,
